Institute,Department,Category,Round,Opening Rank,Closing Rank
IIT Delhi,CSE,GEN-EWS,1,513,2000
IIT Delhi,CSE,OBC-NCL,1,656,1599
IIT Delhi,CSE,SC,1,1170,1856
IIT Delhi,CSE,ST,1,1561,2712
IIT Delhi,ECE,GEN,1,2032,3289
IIT Delhi,ECE,GEN-EWS,1,2396,4067
IIT Delhi,ECE,OBC-NCL,1,2742,3771
IIT Delhi,ECE,SC,1,5059,6406
IIT Delhi,ECE,ST,1,5971,7581
IIT Delhi,EE,GEN,1,2916,4147
IIT Delhi,EE,GEN-EWS,1,3506,4762
IIT Delhi,EE,OBC-NCL,1,4221,5875
IIT Delhi,EE,SC,1,7480,9361
IIT Delhi,EE,ST,1,8951,10332
IIT Delhi,CE,GEN,1,5011,6985
IIT Delhi,CE,GEN-EWS,1,5987,7305
IIT Delhi,CE,OBC-NCL,1,7095,7839
IIT Delhi,CE,SC,1,12520,13721
IIT Delhi,CE,ST,1,15084,16958
IIT Delhi,ME,GEN,1,3970,5545
IIT Delhi,ME,GEN-EWS,1,4834,6138
IIT Delhi,ME,OBC-NCL,1,5664,7502
IIT Delhi,ME,SC,1,10092,11069
IIT Delhi,ME,ST,1,11903,13288
IIT Dharwad,CSE,GEN,1,446,1222
IIT Dharwad,CSE,GEN-EWS,1,615,1783
IIT Dharwad,CSE,OBC-NCL,1,638,1541
IIT Dharwad,CSE,SC,1,1255,2739
IIT Dharwad,CSE,ST,1,1425,3224
IIT Dharwad,ECE,GEN,1,1997,2730
IIT Dharwad,ECE,GEN-EWS,1,2420,4188
IIT Dharwad,ECE,OBC-NCL,1,2730,4639
IIT Dharwad,ECE,SC,1,4981,6685
IIT Dharwad,ECE,ST,1,6025,7562
IIT Dharwad,EE,GEN,1,2971,4740
IIT Dharwad,EE,GEN-EWS,1,3659,5581
IIT Dharwad,EE,OBC-NCL,1,4184,5421
IIT Dharwad,EE,SC,1,7440,8605
IIT Dharwad,EE,ST,1,9075,11070
IIT Dharwad,CE,GEN,1,4943,6281
IIT Dharwad,CE,GEN-EWS,1,5967,7839
IIT Dharwad,CE,OBC-NCL,1,6965,7724
IIT Dharwad,CE,SC,1,12499,13964
IIT Dharwad,CE,ST,1,14923,15805
IIT Dharwad,ME,GEN,1,4057,5064
IIT Dharwad,ME,GEN-EWS,1,4769,6308
IIT Dharwad,ME,OBC-NCL,1,5571,7210
IIT Dharwad,ME,SC,1,9934,10491
IIT Dharwad,ME,ST,1,12025,12693
IIT Dhanbad (ISM),CSE,GEN,1,446,1036
IIT Dhanbad (ISM),CSE,GEN-EWS,1,505,1038
IIT Dhanbad (ISM),CSE,OBC-NCL,1,777,2582
IIT Dhanbad (ISM),CSE,SC,1,1186,1979
IIT Dhanbad (ISM),CSE,ST,1,1585,3444
IIT Dhanbad (ISM),ECE,GEN,1,2027,3338
IIT Dhanbad (ISM),ECE,GEN-EWS,1,2321,4206
IIT Dhanbad (ISM),ECE,OBC-NCL,1,2802,4760
IIT Dhanbad (ISM),ECE,SC,1,4962,6313
IIT Dhanbad (ISM),ECE,ST,1,5980,6718
IIT Dhanbad (ISM),EE,GEN,1,2975,3960
IIT Dhanbad (ISM),EE,GEN-EWS,1,3685,5309
IIT Dhanbad (ISM),EE,OBC-NCL,1,4179,5513
IIT Dhanbad (ISM),EE,SC,1,7594,8495
IIT Dhanbad (ISM),EE,ST,1,9082,10672
IIT Dhanbad (ISM),CE,GEN,1,5033,6233
IIT Dhanbad (ISM),CE,GEN-EWS,1,6008,7199
IIT Dhanbad (ISM),CE,OBC-NCL,1,6921,8228
IIT Dhanbad (ISM),CE,SC,1,12486,13184
IIT Dhanbad (ISM),CE,ST,1,14909,16143
IIT Dhanbad (ISM),ME,GEN,1,4040,4975
IIT Dhanbad (ISM),ME,GEN-EWS,1,4782,6053
IIT Dhanbad (ISM),ME,OBC-NCL,1,5629,6401
IIT Dhanbad (ISM),ME,SC,1,10055,11459
IIT Dhanbad (ISM),ME,ST,1,11935,12690
IIT Gandhinagar,CSE,GEN,1,567,1957
IIT Gandhinagar,CSE,GEN-EWS,1,512,1153
IIT Gandhinagar,CSE,OBC-NCL,1,725,1858
IIT Gandhinagar,CSE,SC,1,1161,2562
IIT Gandhinagar,CSE,ST,1,1550,3209
IIT Gandhinagar,ECE,GEN,1,2009,2887
IIT Gandhinagar,ECE,GEN-EWS,1,2469,3428
IIT Gandhinagar,ECE,OBC-NCL,1,2818,4038
IIT Gandhinagar,ECE,SC,1,5071,6928
IIT Gandhinagar,ECE,ST,1,6039,7037
IIT Gandhinagar,EE,GEN,1,3079,3674
IIT Gandhinagar,EE,GEN-EWS,1,3555,4253
IIT Gandhinagar,EE,OBC-NCL,1,4127,5690
IIT Gandhinagar,EE,SC,1,7452,8788
IIT Gandhinagar,EE,ST,1,9065,10651
IIT Gandhinagar,CE,GEN,1,5018,6186
IIT Gandhinagar,CE,GEN-EWS,1,6051,7649
IIT Gandhinagar,CE,OBC-NCL,1,6996,7814
IIT Gandhinagar,CE,SC,1,12496,12997
IIT Gandhinagar,CE,ST,1,14962,16914
IIT Gandhinagar,ME,GEN,1,3949,4773
IIT Gandhinagar,ME,GEN-EWS,1,4829,5854
IIT Gandhinagar,ME,OBC-NCL,1,5602,6554
IIT Gandhinagar,ME,SC,1,9990,11068
IIT Gandhinagar,ME,ST,1,12023,13682
IIT Goa,CSE,GEN,1,426,1904
IIT Goa,CSE,GEN-EWS,1,629,1771
IIT Goa,CSE,OBC-NCL,1,615,2358
IIT Goa,CSE,SC,1,1347,2359
IIT Goa,CSE,ST,1,1584,2636
IIT Goa,ECE,GEN,1,1905,3075
IIT Goa,ECE,GEN-EWS,1,2499,3767
IIT Goa,ECE,OBC-NCL,1,2897,3666
IIT Goa,ECE,SC,1,5074,5864
IIT Goa,ECE,ST,1,6016,7485
IIT Goa,EE,GEN,1,2939,3531
IIT Goa,EE,GEN-EWS,1,3522,4426
IIT Goa,EE,OBC-NCL,1,4142,6038
IIT Goa,EE,SC,1,7571,8185
IIT Goa,EE,ST,1,9045,10865
IIT Goa,CE,GEN,1,4925,5510
IIT Goa,CE,GEN-EWS,1,5989,6948
IIT Goa,CE,OBC-NCL,1,7041,7964
IIT Goa,CE,SC,1,12467,13873
IIT Goa,CE,ST,1,14970,16553
IIT Goa,ME,GEN,1,3909,5176
IIT Goa,ME,GEN-EWS,1,4824,5675
IIT Goa,ME,OBC-NCL,1,5514,6930
IIT Goa,ME,SC,1,10048,11208
IIT Goa,ME,ST,1,12074,13005
IIT Guwahati,CSE,GEN,1,450,1170
IIT Guwahati,CSE,GEN-EWS,1,559,1399
IIT Guwahati,CSE,OBC-NCL,1,716,2445
IIT Guwahati,CSE,SC,1,1268,3012
IIT Guwahati,CSE,ST,1,1524,2702
IIT Guwahati,ECE,GEN,1,2075,3965
IIT Guwahati,ECE,GEN-EWS,1,2472,3436
IIT Guwahati,ECE,OBC-NCL,1,2800,3303
IIT Guwahati,ECE,SC,1,5071,5601
IIT Guwahati,ECE,ST,1,6047,6703
IIT Guwahati,EE,GEN,1,3013,4849
IIT Guwahati,EE,GEN-EWS,1,3660,4945
IIT Guwahati,EE,OBC-NCL,1,4114,6090
IIT Guwahati,EE,SC,1,7518,9218
IIT Guwahati,EE,ST,1,8993,10755
IIT Guwahati,CE,GEN,1,5074,6199
IIT Guwahati,CE,GEN-EWS,1,6046,7985
IIT Guwahati,CE,OBC-NCL,1,7090,8881
IIT Guwahati,CE,SC,1,12542,13194
IIT Guwahati,CE,ST,1,14974,15528
IIT Guwahati,ME,GEN,1,3901,5161
IIT Guwahati,ME,GEN-EWS,1,4704,5399
IIT Guwahati,ME,OBC-NCL,1,5553,6192
IIT Guwahati,ME,SC,1,10004,10963
IIT Guwahati,ME,ST,1,11960,13397
IIT Hyderabad,CSE,GEN,1,517,1850
IIT Hyderabad,CSE,GEN-EWS,1,668,1708
IIT Hyderabad,CSE,OBC-NCL,1,735,1454
IIT Hyderabad,CSE,SC,1,1273,2319
IIT Hyderabad,CSE,ST,1,1593,3090
IIT Hyderabad,ECE,GEN,1,1987,3981
IIT Hyderabad,ECE,GEN-EWS,1,2382,3528
IIT Hyderabad,ECE,OBC-NCL,1,2808,3845
IIT Hyderabad,ECE,SC,1,5042,6482
IIT Hyderabad,ECE,ST,1,5975,7137
IIT Hyderabad,EE,GEN,1,2961,4251
IIT Hyderabad,EE,GEN-EWS,1,3643,4900
IIT Hyderabad,EE,OBC-NCL,1,4105,5575
IIT Hyderabad,EE,SC,1,7570,8525
IIT Hyderabad,EE,ST,1,9083,9989
IIT Hyderabad,CE,GEN,1,5079,6179
IIT Hyderabad,CE,GEN-EWS,1,5905,7847
IIT Hyderabad,CE,OBC-NCL,1,7047,8701
IIT Hyderabad,CE,SC,1,12564,14047
IIT Hyderabad,CE,ST,1,15079,15970
IIT Hyderabad,ME,GEN,1,4051,5246
IIT Hyderabad,ME,GEN-EWS,1,4871,6414
IIT Hyderabad,ME,OBC-NCL,1,5558,7379
IIT Hyderabad,ME,SC,1,9962,10949
IIT Hyderabad,ME,ST,1,11918,13417
IIT Indore,CSE,GEN,1,487,2332
IIT Indore,CSE,GEN-EWS,1,508,1650
IIT Indore,CSE,OBC-NCL,1,775,2677
IIT Indore,CSE,SC,1,1327,2886
IIT Indore,CSE,ST,1,1515,3380
IIT Indore,ECE,GEN,1,2099,2840
IIT Indore,ECE,GEN-EWS,1,2455,4011
IIT Indore,ECE,OBC-NCL,1,2741,3549
IIT Indore,ECE,SC,1,5019,6073
IIT Indore,ECE,ST,1,6096,7494
IIT Indore,EE,GEN,1,3065,4460
IIT Indore,EE,GEN-EWS,1,3648,4992
IIT Indore,EE,OBC-NCL,1,4296,4975
IIT Indore,EE,SC,1,7531,9255
IIT Indore,EE,ST,1,9061,10632
IIT Indore,CE,GEN,1,5012,6385
IIT Indore,CE,GEN-EWS,1,6038,7892
IIT Indore,CE,OBC-NCL,1,6997,7698
IIT Indore,CE,SC,1,12435,13178
IIT Indore,CE,ST,1,14923,15807
IIT Indore,ME,GEN,1,4081,5771
IIT Indore,ME,GEN-EWS,1,4745,5763
IIT Indore,ME,OBC-NCL,1,5527,6253
IIT Indore,ME,SC,1,9914,11004
IIT Indore,ME,ST,1,12073,13843
IIT Jammu,CSE,GEN,1,532,1930
IIT Jammu,CSE,GEN-EWS,1,597,1762
IIT Jammu,CSE,OBC-NCL,1,664,2471
IIT Jammu,CSE,SC,1,1272,2317
IIT Jammu,CSE,ST,1,1423,2591
IIT Jammu,ECE,GEN,1,2027,3180
IIT Jammu,ECE,GEN-EWS,1,2395,4351
IIT Jammu,ECE,OBC-NCL,1,2768,3965
IIT Jammu,ECE,SC,1,5030,5547
IIT Jammu,ECE,ST,1,5930,7803
IIT Jammu,EE,GEN,1,3011,4729
IIT Jammu,EE,GEN-EWS,1,3696,5307
IIT Jammu,EE,OBC-NCL,1,4118,5077
IIT Jammu,EE,SC,1,7442,8759
IIT Jammu,EE,ST,1,9012,9817
IIT Jammu,CE,GEN,1,4992,5573
IIT Jammu,CE,GEN-EWS,1,5926,7548
IIT Jammu,CE,OBC-NCL,1,7074,9025
IIT Jammu,CE,SC,1,12492,13758
IIT Jammu,CE,ST,1,14909,16779
IIT Jammu,ME,GEN,1,4056,5067
IIT Jammu,ME,GEN-EWS,1,4800,5995
IIT Jammu,ME,OBC-NCL,1,5657,7560
IIT Jammu,ME,SC,1,10000,11938
IIT Jammu,ME,ST,1,12031,13960
IIT Jodhpur,CSE,GEN,1,474,1786
IIT Jodhpur,CSE,GEN-EWS,1,624,1782
IIT Jodhpur,CSE,OBC-NCL,1,742,2450
IIT Jodhpur,CSE,SC,1,1320,1952
IIT Jodhpur,CSE,ST,1,1598,3118
IIT Jodhpur,ECE,GEN,1,1923,2934
IIT Jodhpur,ECE,GEN-EWS,1,2317,3111
IIT Jodhpur,ECE,OBC-NCL,1,2773,4075
IIT Jodhpur,ECE,SC,1,4906,5906
IIT Jodhpur,ECE,ST,1,6068,6958
IIT Jodhpur,EE,GEN,1,3062,3625
IIT Jodhpur,EE,GEN-EWS,1,3548,4222
IIT Jodhpur,EE,OBC-NCL,1,4281,4976
IIT Jodhpur,EE,SC,1,7466,8050
IIT Jodhpur,EE,ST,1,8917,9805
IIT Jodhpur,CE,GEN,1,4988,5891
IIT Jodhpur,CE,GEN-EWS,1,6048,7121
IIT Jodhpur,CE,OBC-NCL,1,7019,8981
IIT Jodhpur,CE,SC,1,12553,13173
IIT Jodhpur,CE,ST,1,14954,16274
IIT Jodhpur,ME,GEN,1,4097,5298
IIT Jodhpur,ME,GEN-EWS,1,4854,6604
IIT Jodhpur,ME,OBC-NCL,1,5667,6559
IIT Jodhpur,ME,SC,1,9960,11454
IIT Jodhpur,ME,ST,1,12090,12916
IIT Kanpur,CSE,GEN,1,563,1541
IIT Kanpur,CSE,GEN-EWS,1,672,2105
IIT Kanpur,CSE,OBC-NCL,1,695,1689
IIT Kanpur,CSE,SC,1,1285,2760
IIT Kanpur,CSE,ST,1,1442,2906
IIT Kanpur,ECE,GEN,1,1954,2543
IIT Kanpur,ECE,GEN-EWS,1,2368,4305
IIT Kanpur,ECE,OBC-NCL,1,2842,3988
IIT Kanpur,ECE,SC,1,5034,6355
IIT Kanpur,ECE,ST,1,5996,7417
IIT Kanpur,EE,GEN,1,2979,3869
IIT Kanpur,EE,GEN-EWS,1,3626,5421
IIT Kanpur,EE,OBC-NCL,1,4253,5002
IIT Kanpur,EE,SC,1,7462,8311
IIT Kanpur,EE,ST,1,9071,9884
IIT Kanpur,CE,GEN,1,4974,5970
IIT Kanpur,CE,GEN-EWS,1,5944,7772
IIT Kanpur,CE,OBC-NCL,1,6941,8512
IIT Kanpur,CE,SC,1,12582,13120
IIT Kanpur,CE,ST,1,14943,16083
IIT Kanpur,ME,GEN,1,3996,5716
IIT Kanpur,ME,GEN-EWS,1,4890,6545
IIT Kanpur,ME,OBC-NCL,1,5524,7007
IIT Kanpur,ME,SC,1,10057,11022
IIT Kanpur,ME,ST,1,12083,13729
IIT Kharagpur,CSE,GEN,1,419,1766
IIT Kharagpur,CSE,GEN-EWS,1,558,1298
IIT Kharagpur,CSE,OBC-NCL,1,791,1865
IIT Kharagpur,CSE,SC,1,1273,2502
IIT Kharagpur,CSE,ST,1,1590,3528
IIT Kharagpur,ECE,GEN,1,1985,3276
IIT Kharagpur,ECE,GEN-EWS,1,2359,3593
IIT Kharagpur,ECE,OBC-NCL,1,2823,4473
IIT Kharagpur,ECE,SC,1,5030,5762
IIT Kharagpur,ECE,ST,1,5964,7267
IIT Kharagpur,EE,GEN,1,2926,4157
IIT Kharagpur,EE,GEN-EWS,1,3607,4188
IIT Kharagpur,EE,OBC-NCL,1,4272,5469
IIT Kharagpur,EE,SC,1,7533,8580
IIT Kharagpur,EE,ST,1,9076,10073
IIT Kharagpur,CE,GEN,1,5096,5808
IIT Kharagpur,CE,GEN-EWS,1,6090,7779
IIT Kharagpur,CE,OBC-NCL,1,6971,8174
IIT Kharagpur,CE,SC,1,12570,13372
IIT Kharagpur,CE,ST,1,15060,17042
IIT Kharagpur,ME,GEN,1,4066,4733
IIT Kharagpur,ME,GEN-EWS,1,4867,6571
IIT Kharagpur,ME,OBC-NCL,1,5519,6755
IIT Kharagpur,ME,SC,1,9952,11125
IIT Kharagpur,ME,ST,1,11939,13263
IIT Madras,CSE,GEN,1,560,1377
IIT Madras,CSE,GEN-EWS,1,516,1990
IIT Madras,CSE,OBC-NCL,1,789,2750
IIT Madras,CSE,SC,1,1309,2129
IIT Madras,CSE,ST,1,1481,3442
IIT Madras,ECE,GEN,1,1904,2677
IIT Madras,ECE,GEN-EWS,1,2499,3522
IIT Madras,ECE,OBC-NCL,1,2842,3683
IIT Madras,ECE,SC,1,5089,6913
IIT Madras,ECE,ST,1,5971,6966
IIT Madras,EE,GEN,1,3009,4371
IIT Madras,EE,GEN-EWS,1,3675,4545
IIT Madras,EE,OBC-NCL,1,4152,5858
IIT Madras,EE,SC,1,7535,8857
IIT Madras,EE,ST,1,8991,10407
IIT Madras,CE,GEN,1,5099,6915
IIT Madras,CE,GEN-EWS,1,5998,7463
IIT Madras,CE,OBC-NCL,1,6989,7738
IIT Madras,CE,SC,1,12531,13191
IIT Madras,CE,ST,1,14977,15570
IIT Madras,ME,GEN,1,3933,4759
IIT Madras,ME,GEN-EWS,1,4788,6784
IIT Madras,ME,OBC-NCL,1,5552,6818
IIT Madras,ME,SC,1,10014,11516
IIT Madras,ME,ST,1,12016,13522
IIT Mandi,CSE,GEN,1,422,1620
IIT Mandi,CSE,GEN-EWS,1,651,1485
IIT Mandi,CSE,OBC-NCL,1,795,1462
IIT Mandi,CSE,SC,1,1255,2506
IIT Mandi,CSE,ST,1,1570,2391
IIT Mandi,ECE,GEN,1,2091,3030
IIT Mandi,ECE,GEN-EWS,1,2496,3582
IIT Mandi,ECE,OBC-NCL,1,2765,4728
IIT Mandi,ECE,SC,1,4968,6177
IIT Mandi,ECE,ST,1,6058,6965
IIT Mandi,EE,GEN,1,3003,4141
IIT Mandi,EE,GEN-EWS,1,3573,4591
IIT Mandi,EE,OBC-NCL,1,4296,5005
IIT Mandi,EE,SC,1,7508,9260
IIT Mandi,EE,ST,1,8951,10018
IIT Mandi,CE,GEN,1,5011,6552
IIT Mandi,CE,GEN-EWS,1,5965,7123
IIT Mandi,CE,OBC-NCL,1,7041,8613
IIT Mandi,CE,SC,1,12521,13907
IIT Mandi,CE,ST,1,14913,16651
IIT Mandi,ME,GEN,1,4077,5140
IIT Mandi,ME,GEN-EWS,1,4880,6725
IIT Mandi,ME,OBC-NCL,1,5575,7565
IIT Mandi,ME,SC,1,10070,10783
IIT Mandi,ME,ST,1,12046,13301
IIT Nagpur,CSE,GEN,1,472,2318
IIT Nagpur,CSE,GEN-EWS,1,668,1683
IIT Nagpur,CSE,OBC-NCL,1,777,2329
IIT Nagpur,CSE,SC,1,1321,2416
IIT Nagpur,CSE,ST,1,1478,3089
IIT Nagpur,ECE,GEN,1,2010,3298
IIT Nagpur,ECE,GEN-EWS,1,2397,3801
IIT Nagpur,ECE,OBC-NCL,1,2860,4335
IIT Nagpur,ECE,SC,1,5048,6349
IIT Nagpur,ECE,ST,1,6087,7270
IIT Nagpur,EE,GEN,1,2907,4773
IIT Nagpur,EE,GEN-EWS,1,3519,5487
IIT Nagpur,EE,OBC-NCL,1,4163,5057
IIT Nagpur,EE,SC,1,7491,8506
IIT Nagpur,EE,ST,1,9089,9773
IIT Nagpur,CE,GEN,1,4983,5806
IIT Nagpur,CE,GEN-EWS,1,5946,7532
IIT Nagpur,CE,OBC-NCL,1,6935,8699
IIT Nagpur,CE,SC,1,12541,13320
IIT Nagpur,CE,ST,1,14996,16104
IIT Nagpur,ME,GEN,1,4040,5335
IIT Nagpur,ME,GEN-EWS,1,4872,6465
IIT Nagpur,ME,OBC-NCL,1,5599,7419
IIT Nagpur,ME,SC,1,9942,11219
IIT Nagpur,ME,ST,1,11927,13692
IIT Palakkad,CSE,GEN,1,534,1120
IIT Palakkad,CSE,GEN-EWS,1,571,1296
IIT Palakkad,CSE,OBC-NCL,1,721,2416
IIT Palakkad,CSE,SC,1,1318,2168
IIT Palakkad,CSE,ST,1,1536,3235
IIT Palakkad,ECE,GEN,1,2024,3592
IIT Palakkad,ECE,GEN-EWS,1,2364,3612
IIT Palakkad,ECE,OBC-NCL,1,2706,4457
IIT Palakkad,ECE,SC,1,4905,5848
IIT Palakkad,ECE,ST,1,6029,7641
IIT Palakkad,EE,GEN,1,3003,3894
IIT Palakkad,EE,GEN-EWS,1,3619,5288
IIT Palakkad,EE,OBC-NCL,1,4149,5565
IIT Palakkad,EE,SC,1,7435,9374
IIT Palakkad,EE,ST,1,9004,9666
IIT Palakkad,CE,GEN,1,4981,6192
IIT Palakkad,CE,GEN-EWS,1,6019,7154
IIT Palakkad,CE,OBC-NCL,1,7078,8939
IIT Palakkad,CE,SC,1,12449,13559
IIT Palakkad,CE,ST,1,15063,15722
IIT Palakkad,ME,GEN,1,4049,4754
IIT Palakkad,ME,GEN-EWS,1,4814,6641
IIT Palakkad,ME,OBC-NCL,1,5542,7319
IIT Palakkad,ME,SC,1,10001,10760
IIT Palakkad,ME,ST,1,11969,13826
IIT Patna,CSE,GEN,1,422,1458
IIT Patna,CSE,GEN-EWS,1,682,2576
IIT Patna,CSE,OBC-NCL,1,767,1777
IIT Patna,CSE,SC,1,1336,3204
IIT Patna,CSE,ST,1,1522,2895
IIT Patna,ECE,GEN,1,1970,3625
IIT Patna,ECE,GEN-EWS,1,2441,4396
IIT Patna,ECE,OBC-NCL,1,2716,3943
IIT Patna,ECE,SC,1,4980,6253
IIT Patna,ECE,ST,1,6026,7464
IIT Patna,EE,GEN,1,3089,4110
IIT Patna,EE,GEN-EWS,1,3575,4303
IIT Patna,EE,OBC-NCL,1,4238,6179
IIT Patna,EE,SC,1,7457,8591
IIT Patna,EE,ST,1,9068,10244
IIT Patna,CE,GEN,1,5074,6621
IIT Patna,CE,GEN-EWS,1,6051,7439
IIT Patna,CE,OBC-NCL,1,6998,8987
IIT Patna,CE,SC,1,12408,14217
IIT Patna,CE,ST,1,14980,16777
IIT Patna,ME,GEN,1,4002,4882
IIT Patna,ME,GEN-EWS,1,4786,6150
IIT Patna,ME,OBC-NCL,1,5505,6593
IIT Patna,ME,SC,1,9997,10668
IIT Patna,ME,ST,1,11931,13548
IIT Roorkee,CSE,GEN,1,564,2523
IIT Roorkee,CSE,GEN-EWS,1,625,1923
IIT Roorkee,CSE,OBC-NCL,1,631,1955
IIT Roorkee,CSE,SC,1,1157,1968
IIT Roorkee,CSE,ST,1,1412,2577
IIT Roorkee,ECE,GEN,1,1941,3196
IIT Roorkee,ECE,GEN-EWS,1,2387,3749
IIT Roorkee,ECE,OBC-NCL,1,2784,4471
IIT Roorkee,ECE,SC,1,5096,6227
IIT Roorkee,ECE,ST,1,5978,6588
IIT Roorkee,EE,GEN,1,2917,3498
IIT Roorkee,EE,GEN-EWS,1,3511,4525
IIT Roorkee,EE,OBC-NCL,1,4108,6068
IIT Roorkee,EE,SC,1,7529,8285
IIT Roorkee,EE,ST,1,9036,10343
IIT Roorkee,CE,GEN,1,5053,6887
IIT Roorkee,CE,GEN-EWS,1,5902,6917
IIT Roorkee,CE,OBC-NCL,1,6911,8681
IIT Roorkee,CE,SC,1,12551,13190
IIT Roorkee,CE,ST,1,15003,15695
IIT Roorkee,ME,GEN,1,3996,5500
IIT Roorkee,ME,GEN-EWS,1,4867,6711
IIT Roorkee,ME,OBC-NCL,1,5551,6537
IIT Roorkee,ME,SC,1,9926,11254
IIT Roorkee,ME,ST,1,12051,12649
IIT Ropar,CSE,GEN,1,499,1825
IIT Ropar,CSE,GEN-EWS,1,531,1808
IIT Ropar,CSE,OBC-NCL,1,676,1717
IIT Ropar,CSE,SC,1,1324,3046
IIT Ropar,CSE,ST,1,1594,3128
IIT Ropar,ECE,GEN,1,2097,4027
IIT Ropar,ECE,GEN-EWS,1,2305,3766
IIT Ropar,ECE,OBC-NCL,1,2739,4165
IIT Ropar,ECE,SC,1,4932,6669
IIT Ropar,ECE,ST,1,6013,6520
IIT Ropar,EE,GEN,1,3016,4271
IIT Ropar,EE,GEN-EWS,1,3622,4647
IIT Ropar,EE,OBC-NCL,1,4137,5100
IIT Ropar,EE,SC,1,7553,8796
IIT Ropar,EE,ST,1,9086,10571
IIT Ropar,CE,GEN,1,4940,6776
IIT Ropar,CE,GEN-EWS,1,5977,6958
IIT Ropar,CE,OBC-NCL,1,6905,7804
IIT Ropar,CE,SC,1,12520,13135
IIT Ropar,CE,ST,1,15003,16653
IIT Ropar,ME,GEN,1,3999,5540
IIT Ropar,ME,GEN-EWS,1,4724,6178
