Round,Institute,Department,Category,Opening Rank,Closing Rank
2,NIT Allahabad,Electrical Engineering,ST,2684,2943
2,NIT Allahabad,Electrical Engineering,GEN-EWS,11779,11964
3,NIT Allahabad,Computer Science and Engineering,GEN,3001,5404
3,NIT Allahabad,Computer Science and Engineering,OBC-NCL,8711,11410
3,NIT Allahabad,Computer Science and Engineering,SC,811,1746
3,NIT Allahabad,Computer Science and Engineering,ST,727,1790
3,NIT Allahabad,Computer Science and Engineering,GEN-EWS,1285,1582
3,NIT Allahabad,Electronics and Communication Engineering,GEN,11778,13901
3,NIT Allahabad,Electronics and Communication Engineering,OBC-NCL,12793,14252
3,NIT Allahabad,Electronics and Communication Engineering,SC,10102,11201
3,NIT Allahabad,Electronics and Communication Engineering,ST,5634,8381
3,NIT Allahabad,Electronics and Communication Engineering,GEN-EWS,5385,8341
3,NIT Allahabad,Mechanical Engineering,GEN,13401,16302
3,NIT Allahabad,Mechanical Engineering,OBC-NCL,9272,10243
3,NIT Allahabad,Mechanical Engineering,SC,13693,16225
3,NIT Allahabad,Mechanical Engineering,ST,2247,2512
3,NIT Allahabad,Mechanical Engineering,GEN-EWS,4152,6971
3,NIT Allahabad,Civil Engineering,GEN,653,3216
3,NIT Allahabad,Civil Engineering,OBC-NCL,10789,13618
3,NIT Allahabad,Civil Engineering,SC,7009,7403
3,NIT Allahabad,Civil Engineering,ST,7735,9299
3,NIT Allahabad,Civil Engineering,GEN-EWS,7190,7298
3,NIT Allahabad,Electrical Engineering,GEN,1992,3380
3,NIT Allahabad,Electrical Engineering,OBC-NCL,1834,4165
3,NIT Allahabad,Electrical Engineering,SC,5702,7849
3,NIT Allahabad,Electrical Engineering,ST,7902,9813
3,NIT Allahabad,Electrical Engineering,GEN-EWS,11432,11887
4,NIT Allahabad,Computer Science and Engineering,GEN,8765,11006
4,NIT Allahabad,Computer Science and Engineering,OBC-NCL,5587,5969
4,NIT Allahabad,Computer Science and Engineering,SC,4757,6717
4,NIT Allahabad,Computer Science and Engineering,ST,11198,11299
4,NIT Allahabad,Computer Science and Engineering,GEN-EWS,5497,6971
4,NIT Allahabad,Electronics and Communication Engineering,GEN,2211,5145
4,NIT Allahabad,Electronics and Communication Engineering,OBC-NCL,14244,15562
4,NIT Allahabad,Electronics and Communication Engineering,SC,1495,2015
4,NIT Allahabad,Electronics and Communication Engineering,ST,9828,10608
4,NIT Allahabad,Electronics and Communication Engineering,GEN-EWS,14918,16536
4,NIT Allahabad,Mechanical Engineering,GEN,7593,9170
4,NIT Allahabad,Mechanical Engineering,OBC-NCL,14935,17178
4,NIT Allahabad,Mechanical Engineering,SC,3985,5648
4,NIT Allahabad,Mechanical Engineering,ST,10415,10576
4,NIT Allahabad,Mechanical Engineering,GEN-EWS,10614,11362
4,NIT Allahabad,Civil Engineering,GEN,4015,6993
4,NIT Allahabad,Civil Engineering,OBC-NCL,12563,13185
4,NIT Allahabad,Civil Engineering,SC,1029,3963
4,NIT Allahabad,Civil Engineering,ST,8569,10630
4,NIT Allahabad,Civil Engineering,GEN-EWS,11701,14290
4,NIT Allahabad,Electrical Engineering,GEN,13116,13686
4,NIT Allahabad,Electrical Engineering,OBC-NCL,5067,5301
4,NIT Allahabad,Electrical Engineering,SC,14689,17443
4,NIT Allahabad,Electrical Engineering,ST,11626,14320
4,NIT Allahabad,Electrical Engineering,GEN-EWS,11945,12847
5,NIT Allahabad,Computer Science and Engineering,GEN,6647,7994
5,NIT Allahabad,Computer Science and Engineering,OBC-NCL,13379,16249
5,NIT Allahabad,Computer Science and Engineering,SC,10168,12126
5,NIT Allahabad,Computer Science and Engineering,ST,4279,7247
5,NIT Allahabad,Computer Science and Engineering,GEN-EWS,14088,16817
5,NIT Allahabad,Electronics and Communication Engineering,GEN,12589,15047
5,NIT Allahabad,Electronics and Communication Engineering,OBC-NCL,5916,8134
5,NIT Allahabad,Electronics and Communication Engineering,SC,1467,1858
5,NIT Allahabad,Electronics and Communication Engineering,ST,3743,4409
5,NIT Allahabad,Electronics and Communication Engineering,GEN-EWS,170,964
5,NIT Allahabad,Mechanical Engineering,GEN,13775,16541
5,NIT Allahabad,Mechanical Engineering,OBC-NCL,13013,13266
5,NIT Allahabad,Mechanical Engineering,SC,11016,11198
5,NIT Allahabad,Mechanical Engineering,ST,8314,9358
5,NIT Allahabad,Mechanical Engineering,GEN-EWS,10397,11626
5,NIT Allahabad,Civil Engineering,GEN,10896,11781
5,NIT Allahabad,Civil Engineering,OBC-NCL,14620,16199
5,NIT Allahabad,Civil Engineering,SC,1749,3128
5,NIT Allahabad,Civil Engineering,ST,10126,11023
5,NIT Allahabad,Civil Engineering,GEN-EWS,10976,11050
5,NIT Allahabad,Electrical Engineering,GEN,10913,13171
5,NIT Allahabad,Electrical Engineering,OBC-NCL,9713,11261
5,NIT Allahabad,Electrical Engineering,SC,11444,13773
5,NIT Allahabad,Electrical Engineering,ST,13586,15309
5,NIT Allahabad,Electrical Engineering,GEN-EWS,6235,8509
6,NIT Allahabad,Computer Science and Engineering,GEN,7999,9782
6,NIT Allahabad,Computer Science and Engineering,OBC-NCL,7685,10681
6,NIT Allahabad,Computer Science and Engineering,SC,12533,13028
6,NIT Allahabad,Computer Science and Engineering,ST,13902,16875
6,NIT Allahabad,Computer Science and Engineering,GEN-EWS,2438,3433
6,NIT Allahabad,Electronics and Communication Engineering,GEN,1458,3319
6,NIT Allahabad,Electronics and Communication Engineering,OBC-NCL,8001,10122
6,NIT Allahabad,Electronics and Communication Engineering,SC,11927,14012
6,NIT Allahabad,Electronics and Communication Engineering,ST,8262,10059
6,NIT Allahabad,Electronics and Communication Engineering,GEN-EWS,4174,6989
6,NIT Allahabad,Mechanical Engineering,GEN,3842,5944
6,NIT Allahabad,Mechanical Engineering,OBC-NCL,10015,11815
6,NIT Allahabad,Mechanical Engineering,SC,11807,12534
6,NIT Allahabad,Mechanical Engineering,ST,14119,14426
6,NIT Allahabad,Mechanical Engineering,GEN-EWS,12368,15362
6,NIT Allahabad,Civil Engineering,GEN,3140,5052
6,NIT Allahabad,Civil Engineering,OBC-NCL,2068,2849
6,NIT Allahabad,Civil Engineering,SC,9237,10223
6,NIT Allahabad,Civil Engineering,ST,6930,9829
6,NIT Allahabad,Civil Engineering,GEN-EWS,10302,10374
6,NIT Allahabad,Electrical Engineering,GEN,11030,12074
6,NIT Allahabad,Electrical Engineering,OBC-NCL,3290,4217
6,NIT Allahabad,Electrical Engineering,SC,1557,2530
6,NIT Allahabad,Electrical Engineering,ST,11525,13016
6,NIT Allahabad,Electrical Engineering,GEN-EWS,13430,15091
1,NIT Andhra Pradesh,Computer Science and Engineering,GEN,3437,5693
1,NIT Andhra Pradesh,Computer Science and Engineering,OBC-NCL,9335,10915
1,NIT Andhra Pradesh,Computer Science and Engineering,SC,14765,16939
1,NIT Andhra Pradesh,Computer Science and Engineering,ST,6555,9345
1,NIT Andhra Pradesh,Computer Science and Engineering,GEN-EWS,427,2071
1,NIT Andhra Pradesh,Electronics and Communication Engineering,GEN,8686,11498
1,NIT Andhra Pradesh,Electronics and Communication Engineering,OBC-NCL,3150,4087
1,NIT Andhra Pradesh,Electronics and Communication Engineering,SC,2713,4683
1,NIT Andhra Pradesh,Electronics and Communication Engineering,ST,6586,8190
1,NIT Andhra Pradesh,Electronics and Communication Engineering,GEN-EWS,10578,11852
1,NIT Andhra Pradesh,Mechanical Engineering,GEN,288,1171
1,NIT Andhra Pradesh,Mechanical Engineering,OBC-NCL,7794,9383
1,NIT Andhra Pradesh,Mechanical Engineering,SC,7962,8453
1,NIT Andhra Pradesh,Mechanical Engineering,ST,3760,5692
1,NIT Andhra Pradesh,Mechanical Engineering,GEN-EWS,12004,12566
1,NIT Andhra Pradesh,Civil Engineering,GEN,9963,12604
1,NIT Andhra Pradesh,Civil Engineering,OBC-NCL,7428,8447
1,NIT Andhra Pradesh,Civil Engineering,SC,2432,2825
1,NIT Andhra Pradesh,Civil Engineering,ST,9232,11150
1,NIT Andhra Pradesh,Civil Engineering,GEN-EWS,11259,11786
1,NIT Andhra Pradesh,Electrical Engineering,GEN,4667,6683
1,NIT Andhra Pradesh,Electrical Engineering,OBC-NCL,7156,8597
1,NIT Andhra Pradesh,Electrical Engineering,SC,3444,5923
1,NIT Andhra Pradesh,Electrical Engineering,ST,11576,13879
1,NIT Andhra Pradesh,Electrical Engineering,GEN-EWS,4397,4957
2,NIT Andhra Pradesh,Computer Science and Engineering,GEN,2573,2799
2,NIT Andhra Pradesh,Computer Science and Engineering,OBC-NCL,11588,12283
2,NIT Andhra Pradesh,Computer Science and Engineering,SC,5166,7289
2,NIT Andhra Pradesh,Computer Science and Engineering,ST,4987,6654
2,NIT Andhra Pradesh,Computer Science and Engineering,GEN-EWS,8235,10418
2,NIT Andhra Pradesh,Electronics and Communication Engineering,GEN,7063,7869
2,NIT Andhra Pradesh,Electronics and Communication Engineering,OBC-NCL,4707,5911
2,NIT Andhra Pradesh,Electronics and Communication Engineering,SC,5385,6333
2,NIT Andhra Pradesh,Electronics and Communication Engineering,ST,6020,8985
2,NIT Andhra Pradesh,Electronics and Communication Engineering,GEN-EWS,11200,13215
2,NIT Andhra Pradesh,Mechanical Engineering,GEN,2023,3785
2,NIT Andhra Pradesh,Mechanical Engineering,OBC-NCL,13649,15780
2,NIT Andhra Pradesh,Mechanical Engineering,SC,3277,4293
2,NIT Andhra Pradesh,Mechanical Engineering,ST,5576,8570
2,NIT Andhra Pradesh,Mechanical Engineering,GEN-EWS,4296,5469
2,NIT Andhra Pradesh,Civil Engineering,GEN,5419,6263
2,NIT Andhra Pradesh,Civil Engineering,OBC-NCL,4288,6410
2,NIT Andhra Pradesh,Civil Engineering,SC,420,524
2,NIT Andhra Pradesh,Civil Engineering,ST,10442,11995
2,NIT Andhra Pradesh,Civil Engineering,GEN-EWS,12058,15000
2,NIT Andhra Pradesh,Electrical Engineering,GEN,12537,14747
2,NIT Andhra Pradesh,Electrical Engineering,OBC-NCL,12767,14214
2,NIT Andhra Pradesh,Electrical Engineering,SC,14359,16646
2,NIT Andhra Pradesh,Electrical Engineering,ST,10442,11225
2,NIT Andhra Pradesh,Electrical Engineering,GEN-EWS,12777,13357
3,NIT Andhra Pradesh,Computer Science and Engineering,GEN,2376,3531
3,NIT Andhra Pradesh,Computer Science and Engineering,OBC-NCL,13842,16336
3,NIT Andhra Pradesh,Computer Science and Engineering,SC,5404,6766
3,NIT Andhra Pradesh,Computer Science and Engineering,ST,9877,11214
3,NIT Andhra Pradesh,Computer Science and Engineering,GEN-EWS,2115,3865
3,NIT Andhra Pradesh,Electronics and Communication Engineering,GEN,5011,6732
3,NIT Andhra Pradesh,Electronics and Communication Engineering,OBC-NCL,8430,9494
3,NIT Andhra Pradesh,Electronics and Communication Engineering,SC,5547,7166
3,NIT Andhra Pradesh,Electronics and Communication Engineering,ST,12483,15239
3,NIT Andhra Pradesh,Electronics and Communication Engineering,GEN-EWS,11359,11688
3,NIT Andhra Pradesh,Mechanical Engineering,GEN,6605,8727
3,NIT Andhra Pradesh,Mechanical Engineering,OBC-NCL,5559,7584
3,NIT Andhra Pradesh,Mechanical Engineering,SC,1136,3672
3,NIT Andhra Pradesh,Mechanical Engineering,ST,13398,16343
3,NIT Andhra Pradesh,Mechanical Engineering,GEN-EWS,13397,14026
3,NIT Andhra Pradesh,Civil Engineering,GEN,6444,6682
3,NIT Andhra Pradesh,Civil Engineering,OBC-NCL,3030,3192
3,NIT Andhra Pradesh,Civil Engineering,SC,12483,14092
3,NIT Andhra Pradesh,Civil Engineering,ST,12562,13428
3,NIT Andhra Pradesh,Civil Engineering,GEN-EWS,12547,13359
3,NIT Andhra Pradesh,Electrical Engineering,GEN,10398,12516
3,NIT Andhra Pradesh,Electrical Engineering,OBC-NCL,1893,3273
3,NIT Andhra Pradesh,Electrical Engineering,SC,11217,13063
3,NIT Andhra Pradesh,Electrical Engineering,ST,7355,8634
3,NIT Andhra Pradesh,Electrical Engineering,GEN-EWS,14381,16671
4,NIT Andhra Pradesh,Computer Science and Engineering,GEN,11699,13934
4,NIT Andhra Pradesh,Computer Science and Engineering,OBC-NCL,3765,6353
4,NIT Andhra Pradesh,Computer Science and Engineering,SC,8759,10948
4,NIT Andhra Pradesh,Computer Science and Engineering,ST,13920,16050
4,NIT Andhra Pradesh,Computer Science and Engineering,GEN-EWS,7676,8199
4,NIT Andhra Pradesh,Electronics and Communication Engineering,GEN,5509,6566
4,NIT Andhra Pradesh,Electronics and Communication Engineering,OBC-NCL,6123,8772
4,NIT Andhra Pradesh,Electronics and Communication Engineering,SC,3913,6400
4,NIT Andhra Pradesh,Electronics and Communication Engineering,ST,4507,6294
4,NIT Andhra Pradesh,Electronics and Communication Engineering,GEN-EWS,1859,3770
4,NIT Andhra Pradesh,Mechanical Engineering,GEN,9796,11721
4,NIT Andhra Pradesh,Mechanical Engineering,OBC-NCL,8190,9027
4,NIT Andhra Pradesh,Mechanical Engineering,SC,14821,15485
4,NIT Andhra Pradesh,Mechanical Engineering,ST,738,2922
4,NIT Andhra Pradesh,Mechanical Engineering,GEN-EWS,4770,7117
4,NIT Andhra Pradesh,Civil Engineering,GEN,5801,6593
4,NIT Andhra Pradesh,Civil Engineering,OBC-NCL,14794,16959
4,NIT Andhra Pradesh,Civil Engineering,SC,11262,12889
4,NIT Andhra Pradesh,Civil Engineering,ST,11656,13004
4,NIT Andhra Pradesh,Civil Engineering,GEN-EWS,13869,16603
4,NIT Andhra Pradesh,Electrical Engineering,GEN,11443,11603
4,NIT Andhra Pradesh,Electrical Engineering,OBC-NCL,6814,8221
4,NIT Andhra Pradesh,Electrical Engineering,SC,7010,9908
4,NIT Andhra Pradesh,Electrical Engineering,ST,279,2368
4,NIT Andhra Pradesh,Electrical Engineering,GEN-EWS,4496,7236
5,NIT Andhra Pradesh,Computer Science and Engineering,GEN,1121,3633
5,NIT Andhra Pradesh,Computer Science and Engineering,OBC-NCL,11091,12768
5,NIT Andhra Pradesh,Computer Science and Engineering,SC,2169,3363
5,NIT Andhra Pradesh,Computer Science and Engineering,ST,1451,4109
5,NIT Andhra Pradesh,Computer Science and Engineering,GEN-EWS,9741,12206
5,NIT Andhra Pradesh,Electronics and Communication Engineering,GEN,6308,8837
5,NIT Andhra Pradesh,Electronics and Communication Engineering,OBC-NCL,1437,3883
5,NIT Andhra Pradesh,Electronics and Communication Engineering,SC,7669,8858
5,NIT Andhra Pradesh,Electronics and Communication Engineering,ST,5844,6437
5,NIT Andhra Pradesh,Electronics and Communication Engineering,GEN-EWS,6192,6395
5,NIT Andhra Pradesh,Mechanical Engineering,GEN,4493,6258
5,NIT Andhra Pradesh,Mechanical Engineering,OBC-NCL,14832,16005
5,NIT Andhra Pradesh,Mechanical Engineering,SC,13512,13958
5,NIT Andhra Pradesh,Mechanical Engineering,ST,13799,14052
5,NIT Andhra Pradesh,Mechanical Engineering,GEN-EWS,6132,9120
5,NIT Andhra Pradesh,Civil Engineering,GEN,14280,14652
5,NIT Andhra Pradesh,Civil Engineering,OBC-NCL,8900,9284
5,NIT Andhra Pradesh,Civil Engineering,SC,735,2464
5,NIT Andhra Pradesh,Civil Engineering,ST,318,1538
5,NIT Andhra Pradesh,Civil Engineering,GEN-EWS,3701,3846
